organization_npi,claim_inpatient_admission_type_code,claim_admitting_diagnosis_code,patient_count,claim_count
1710051941,3,1539,100,100
1710051941,3,1749,100,100
1710051941,3,185,100,100
1710051941,3,2113,100,100
1710067376,3,1509,100,100
1710067376,3,1536,100,100
1710067376,3,1541,100,100
1710067376,3,1623,100,100
1710067376,3,1629,100,100
1710067376,3,1749,100,100
1710067376,3,1820,100,100
1710067376,3,185,100,100
1710067376,3,1890,100,100
1710067376,3,2113,100,100
1710071097,3,1906,500,500
1710093521,3,1983,100,100
1710093521,3,2252,100,100
1710097936,1,20972,100,100
1710097936,3,1977,100,100
1710097936,3,20900,100,100
1710097936,3,20903,100,100
1710097936,3,20920,100,100
1710097936,3,20972,100,100
1710097936,3,2189,100,100
1710097936,3,V5811,100,100
1710901178,3,1749,100,100
1710901178,3,2352,100,100
1710909585,1,1539,100,100
1710909585,1,1579,100,100
1710909585,1,1629,100,100
1710909585,1,1749,100,100
1710909585,1,185,100,100
1710909585,1,1983,100,100
1710909585,1,1985,100,100
1710909585,1,20300,100,100
1710909585,1,51181,100,100
1710909585,3,1509,100,100
1710909585,3,1519,100,100
1710909585,3,1531,100,100
1710909585,3,1532,100,100
1710909585,3,1533,100,100
1710909585,3,1534,100,100
1710909585,3,1536,100,100
1710909585,3,1539,100,100
1710909585,3,1540,100,100
1710909585,3,1541,100,100
1710909585,3,1550,100,100
1710909585,3,1570,100,100
1710909585,3,1579,100,100
1710909585,3,1623,100,100
1710909585,3,1625,100,100
1710909585,3,1629,500,500
1710909585,3,1749,500,500
1710909585,3,179,100,100
1710909585,3,1820,100,100
1710909585,3,1830,100,100
1710909585,3,1844,100,100
1710909585,3,185,500,500
1710909585,3,1888,100,100
1710909585,3,1889,100,100
1710909585,3,1890,100,100
1710909585,3,193,100,100
1710909585,3,1977,100,100
1710909585,3,1983,100,100
1710909585,3,20280,100,100
1710909585,3,20300,100,100
1710909585,3,20500,100,100
1710909585,3,2113,500,500
1710909585,3,2189,100,100
1710909585,3,220,100,100
1710909585,3,2330,100,100
1710909585,3,2352,100,100
1710909585,3,2390,100,100
1710909585,3,V5811,100,100
1710913140,3,1749,100,100
1710913140,3,185,100,100
1710913140,3,1890,100,100
1710913140,3,2113,100,100
1710915756,3,2113,100,100
1710918545,1,1983,100,100
1710918545,2,1550,100,100
1710918545,2,1749,100,100
1710918545,2,1820,100,100
1710918545,2,1830,100,100
1710918545,2,1889,100,100
1710918545,2,1983,100,100
1710918545,2,20500,100,100
1710918545,2,V5811,100,500
1710918545,3,1410,100,100
1710918545,3,1460,100,100
1710918545,3,1505,100,100
1710918545,3,1509,100,100
1710918545,3,1534,100,100
1710918545,3,1536,100,100
1710918545,3,1539,100,100
1710918545,3,1541,100,100
1710918545,3,1550,100,100
1710918545,3,1570,100,100
1710918545,3,1579,100,100
1710918545,3,1619,100,100
1710918545,3,1623,100,100
1710918545,3,1624,100,100
1710918545,3,1625,100,100
1710918545,3,1629,100,100
1710918545,3,1713,100,100
1710918545,3,17332,100,100
1710918545,3,1749,100,100
1710918545,3,1809,100,100
1710918545,3,1820,500,500
1710918545,3,1830,100,100
1710918545,3,1844,100,100
1710918545,3,185,500,500
1710918545,3,1888,100,100
1710918545,3,1889,100,100
1710918545,3,1890,100,100
1710918545,3,1892,100,100
1710918545,3,193,100,100
1710918545,3,1960,100,100
1710918545,3,1970,100,100
1710918545,3,1977,100,100
1710918545,3,1985,100,100
1710918545,3,19889,100,100
1710918545,3,20280,100,100
1710918545,3,20300,100,100
1710918545,3,2102,100,100
1710918545,3,2113,100,100
1710918545,3,2189,100,100
1710918545,3,220,100,100
1710918545,3,2252,100,100
1710918545,3,2273,100,100
1710918545,3,2330,100,100
1710918545,3,2381,100,100
1710918545,3,V5811,100,500
1710920327,3,1533,100,100
1710920327,3,1541,100,100
1710920327,3,1748,100,100
1710920327,3,1749,100,100
1710920327,3,185,100,100
1710920327,3,2113,100,100
1710920327,3,2394,100,100
1710931522,3,185,100,100
1710931985,1,1629,100,100
1710931985,2,1629,100,100
1710931985,2,185,100,100
1710931985,3,185,100,100
1710931985,3,2113,100,100
1710931985,3,2189,100,100
1710943881,3,1536,100,100
1710943881,3,1623,100,100
1710943881,3,1629,100,100
1710943881,3,185,100,100
1710980032,3,1536,100,100
1720004450,3,1623,100,100
1720004450,3,1749,100,100
1720004450,3,185,100,100
1720004450,3,2113,100,100
1720004450,3,V5811,100,100
1720011810,2,V5811,100,100
1720011810,3,1410,100,100
1720011810,3,1460,100,100
1720011810,3,1530,100,100
1720011810,3,1531,100,100
1720011810,3,1533,100,100
1720011810,3,1534,100,100
1720011810,3,1536,100,100
1720011810,3,1539,100,100
1720011810,3,1540,100,100
1720011810,3,1541,100,100
1720011810,3,1623,100,100
1720011810,3,1629,100,100
1720011810,3,1749,100,100
1720011810,3,1820,100,100
1720011810,3,185,100,100
1720011810,3,1889,100,100
1720011810,3,1890,100,100
1720011810,3,2113,500,500
1720011810,3,V5811,100,100
1720019995,2,V5811,100,100
1720022379,3,1539,100,100
1720022379,3,1541,100,100
1720022379,3,1623,100,100
1720022379,3,1749,100,100
1720022379,3,185,100,100
1720022379,3,2113,100,100
1720029333,2,V5811,100,100
1720029333,3,1536,100,100
1720029333,3,1541,100,100
1720029333,3,1623,100,100
1720029333,3,1625,100,100
1720029333,3,185,100,100
1720029333,3,1890,100,100
1720029333,3,2113,100,100
1720031636,3,185,100,500
1720031636,3,2113,100,100
1720031701,1,1629,100,100
1720031701,3,1539,100,100
1720031701,3,1749,100,100
1720031701,3,1890,100,100
1720031701,3,2113,100,100
1720033947,1,1983,100,100
1720033947,3,1536,100,100
1720033947,3,1539,100,100
1720033947,3,1540,100,100
1720033947,3,1541,100,100
1720033947,3,1550,100,100
1720033947,3,1570,100,100
1720033947,3,1749,100,100
1720033947,3,1983,100,100
1720033947,3,2113,100,100
1720033947,3,2252,100,100
1720033947,3,2273,100,100
1720038946,2,20500,100,100
1720038946,3,1541,100,100
1720038946,3,1623,100,100
1720038946,3,1713,100,100
